Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
25-34,male,"Carrusel Promocion Samsung",not_delivering,ad,6312,11698,1.85329531,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",47,9.88,0.21021277,2026-01-15,2026-01-22,3.60745427,0.84458882,0.06909091,143,,0.00884512,0.40177808,422,0.02341232,2025-12-01,2026-01-31
25-34,male,"iPhones carusel campaña de Interacción",not_delivering,ad,13842,23264,1.68068198,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1497,9.88,0.00659987,2025-12-27,2026-01-06,2.81550894,0.42469051,0.06136646,161,,0.00659987,6.43483494,655,0.01508397,2025-12-01,2026-01-31
25-34,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,17041,23523,1.38037674,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1335,9.85,0.00737828,2025-12-20,"En curso",3.64749394,0.41873911,0.01446402,681,,0.01336499,5.67529652,858,0.01148019,2025-12-01,2026-01-31
25-34,male,Lifephone,active,ad,3248,5565,1.71336207,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",9,9.69,1.07666667,2026-01-27,2026-02-10,2.58760108,1.74123989,0.35888889,27,,0.00876923,0.16172507,144,0.06729167,2025-12-01,2026-01-31
25-34,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,15140,19975,1.31935271,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1272,9.68,0.00761006,2025-12-20,"En curso",3.84480601,0.48460576,0.01382857,700,,0.01290667,6.36795995,768,0.01260417,2025-12-01,2026-01-31
25-34,male,"Poco F8 Pro",not_delivering,ad,5596,10109,1.80646891,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",65,9.56,0.14707692,2026-01-24,2026-01-31,4.61964586,0.94569196,0.05829268,164,,0.00365583,0.64299139,467,0.02047109,2025-12-01,2026-01-31
18-24,male,"Regalos por menos de  150 campaña de Interacción",not_delivering,ad,6554,12270,1.87213915,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1421,9.47,0.00666432,2025-12-06,2025-12-13,11.88264059,0.77180114,0.72846154,13,,0.00666432,11.58109209,1458,0.0064952,2025-12-01,2026-01-31
25-34,male,"Publicación de Instagram: ✨ ¡NUEVA TIENDA, NUEVAS...",not_delivering,ad,7388,14305,1.93624797,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",836,9.45,0.01130383,2025-12-20,"En curso",3.13876267,0.66060818,0.02192575,431,,0.01660808,5.84411045,449,0.02104677,2025-12-01,2026-01-31
25-34,male,"Lista Precios 20/01/2026",archived,ad,3459,6660,1.92541197,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",33,9.35,0.28333333,2026-01-21,2026-01-31,6.65165165,1.4039039,0.04895288,191,,0.00732185,0.4954955,443,0.02110609,2025-12-01,2026-01-31
25-34,male,"Nubia Neo 3",active,ad,6719,9580,1.42580741,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",110,9.31,0.08463636,2026-01-28,2026-02-04,3.60125261,0.97181628,0.0581875,160,,0.0028178,1.14822547,345,0.02698551,2025-12-01,2026-01-31
